property_scrubbed	amount
Tag Air, Inc.	1271944.0
Tag Air, Inc.	783842.0
Tag Air, Inc.	641840.0
Tag Air, Inc.	585470.0
Tag Air, Inc.	537436.0
Tag Air, Inc.	530160.0
Tag Air, Inc.	511306.15
Tag Air, Inc.	506486.0
Tag Air, Inc.	495070.0
Tag Air, Inc.	476426.0
Tag Air, Inc.	473970.25
Tag Air, Inc.	466464.0
Tag Air, Inc.	422730.0
Tag Air, Inc.	349540.0
Tag Air, Inc.	319496.0
Tag Air, Inc.	300696.0
Trump Tower Commercial LLC	283500.0
Tag Air, Inc.	283464.0
Tag Air, Inc.	258930.0
Mar-a-Lago Club LLC	222071.28
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	169758.33
Trump Tower Commercial LLC	158996.39
Trump Hotel Las Vegas	139616.0
Trump Tower Commercial LLC	130888.33
Trump Restaurants LLC	125080.31
Trump Hotel D.C	121250.0
Trump Golf Club Miami	117155.17
Trump Tower Commercial LLC	110684.17
Trump Hotel D.C	93252.41
The Trump Corporation	89561.0
Trump Golf Club Miami	87866.37
Trump Hotel Las Vegas	79043.94
Trump Hotel Las Vegas	79043.94
Trump Tower Commercial LLC	75123.75
Trump Tower Commercial LLC	72800.0
Trump Hotel D.C	65395.92
Mar-a-Lago Club LLC	62774.23
Trump Hotel D.C.	57201.28
Trump Hotel D.C	56449.67
Trump Golf Club Miami	56330.48
Trump Hotel D.C	54562.0
Trump Restaurants LLC	49276.57
Trump Golf Club Westchester	48239.77
Trump Hotel D.C	46965.74
Trump Tower Commercial LLC	40816.67
Trump Tower Commercial LLC	39892.89
Trump Tower Commercial LLC	39816.67
Trump Tower Commercial LLC	39816.67
Trump Tower Commercial LLC	39816.67
The Trump Corporation	37993.04
Trump Hotel Las Vegas	37823.09
Trump Hotel Las Vegas	37823.09
Trump Tower Commercial LLC	37541.67
Trump Tower Commercial LLC	37541.67
Tag Air, Inc.	37500.0
Trump Golf Club Jupiter	35845.0
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
Trump Tower Commercial LLC	35457.5
The Trump Corporation	35457.5
Trump Tower Commercial LLC	35457.5
Trump Golf Club Miami	31820.97
Trump Hotel D.C.	30250.0
Trump Golf Club Bedminster	29791.99
Trump Golf Club Palm Beach	29715.42
Trump Golf Club Miami	29288.79
Other	27546.11
Trump Hotel D.C	27500.0
Trump Hotel D.C	26500.0
Trump Golf Club Miami	25927.19
The Trump Corporation	25885.0
Trump Tower Commercial LLC	25874.17
Trump Hotel D.C	25151.86
Other	24999.96
Trump Golf Club Jupiter	24147.4
Trump Payroll Corp	23775.5
Trump Hotel D.C	23675.0
Trump Hotel Chicago	21843.92
Trump Hotel D.C.	21835.63
Trump Golf Club Bedminster	21330.0
Trump Golf Club Miami	21141.28
Trump Hotel D.C	19571.91
Trump Hotel D.C	19000.0
Trump Hotel Las Vegas	18731.9
Trump Hotel Las Vegas	18584.97
Trump Hotel Las Vegas	16142.61
The Trump Corporation	16112.0
Trump Golf Club Bedminster  	15221.1
Trump Golf Club Miami	14986.92
Trump Hotel Vancouver	14930.3
Eric Trump Wine Manufacturing, LLC	14314.42
Trump Hotel Las Vegas	13828.09
Trump Hotel D.C	13750.0
Trump Hotel D.C	13750.0
Trump Hotel D.C	13431.88
Trump Hotel D.C	13431.88
Trump Hotel Vancouver	13035.85
Trump Hotel D.C	12265.61
Trump Restaurants LLC	11634.53
Trump Golf Club D.C	11600.0
Trump Golf Club Miami	11541.2
Trump Golf Club Miami	11541.2
Trump Payroll Corp	11023.12
Trump Restaurants LLC	11000.0
Trump Hotel Las Vegas	10860.19
Trump Hotel Las Vegas	10860.19
Trump Hotel Las Vegas	10670.08
Trump Hotel Las Vegas	10670.08
Trump Payroll Corp	10418.81
Trump Golf Club Doonberg	10398.33
Trump Hotel NY	10248.0
Trump Payroll Corp	9752.12
Trump Golf Club D.C	9705.0
Trump Payroll Corp	9651.47
Trump Golf Club Bedminster	9618.78
Trump Golf Club Miami	9587.47
The Trump Corporation	9583.33
Trump Tower Commercial LLC	9583.33
Trump Tower Commercial LLC	9583.33
The Trump Corporation	9510.0
The Trump Corporation	9510.0
The Trump Corporation	9510.0
Trump Golf Club Charlotte	9480.5
Trump Golf Club Palm Beach	9401.6
Trump Golf Club Palm Beach	9401.6
Trump Golf Club Palm Beach	9401.6
Trump Golf Club Doonberg	9312.17
Trump Hotel D.C	9245.93
Trump Payroll Corp	9106.13
Trump Payroll Corp	9013.45
Trump Payroll Corp	9013.45
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Plaza LLC	9000.0
Trump Payroll Corp	8896.68
Trump Golf Club Charlotte	8799.17
Trump Payroll Corp	8735.72
Trump Hotel D.C	8733.99
Trump Golf Club D.C	8544.0
Trump Golf Club D.C	8544.0
Trump Hotel Chicago	8366.14
Trump Hotel D.C	8261.1
Trump Tower Commercial LLC	7990.94
The Trump Corporation	7928.0
Trump Soho NY	7896.35
Trump Golf Club Bedminster	7776.17
Trump Golf Resort Scotland	7724.72
Trump Plaza LLC	7700.0
Trump Hotel Chicago	7635.69
Trump Hotel D.C	7600.0
BLT Prime D.C	7585.67
Trump Payroll Corp	7519.36
Trump Payroll Corp	7519.36
Trump Golf Club Doonberg	7421.69
Trump Payroll Corp	7401.56
Trump Hotel D.C	7282.48
Trump Golf Club Palm Beach	7251.97
Trump Golf Club Palm Beach	7189.88
Trump Hotel NY	7173.6
Trump Hotel NY	7173.6
Trump Golf Club Palm Beach	7051.2
Trump Golf Club Palm Beach	7051.2
Trump Payroll Corp	6990.81
Trump Hotel D.C	6925.0
Eric Trump Wine Manufacturing, LLC	6850.44
Trump Hotel D.C	6825.0
Trump Hotel D.C	6363.14
BLT Prime D.C	6341.73
Trump Tower Commercial LLC	6250.41
Trump Payroll Corp	6197.32
Trump Hotel D.C	6092.0
Eric Trump Wine Manufacturing, LLC	6039.88
Eric Trump Wine Manufacturing, LLC	6039.88
Trump Hotel D.C	6037.5
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump CPS LLC	6000.0
Trump Restaurants LLC	5912.42
Trump Hotel Vancouver	5766.64
Trump Golf Resort Scotland	5583.13
Trump Tower Commercial LLC	5574.93
Trump Payroll Corp	5297.45
Trump Golf Club Palm Beach	5088.44
Trump Hotel D.C.	5000.0
Trump Golf Club Palm Beach	5000.0
Trump Golf Club Miami	5000.0
Trump Tower Commercial LLC	4958.38
Trump Tower Commercial LLC	4931.32
Trump Hotel Vancouver	4853.29
Trump Golf Club	4695.33
Trump Golf Club Palm Beach	4660.0
Trump Hotel NY	4611.6
Trump Tower Commercial LLC	4591.67
Trump Tower Commercial LLC	4550.0
Trump Hotel D.C	4517.76
Trump Hotel D.C	4487.36
Trump Golf Club Palm Beach	4480.0
Trump Golf Club	4457.44
Trump Golf Club Palm Beach	4404.8
Trump Golf Club Palm Beach	4376.03
Trump Golf Club Palm Beach	4376.03
Trump Hotel D.C.	4300.0
Trump Golf Club Bedminster	4275.0
Trump Golf Club Bedminster	4275.0
Trump Hotel D.C	4175.0
Trump Tower Commercial LLC	4164.59
Trump Golf Club L.A.	4132.93
Trump Tower Commercial LLC	4127.33
Trump Hotel NY	4099.2
Trump Payroll Corp	4049.64
Trump Payroll Corp	4049.62
Trump Restaurants LLC	3984.88
Trump Restaurants LLC	3984.88
Trump Hotel Chicago	3984.41
Trump Tower Commercial LLC	3954.54
Trump Plaza LLC	3850.0
Trump Plaza LLC	3850.0
Trump Plaza LLC	3850.0
Trump Golf Club Palm Beach	3792.83
Mar-a-Lago Club LLC	3792.35
Trump Hotel D.C	3750.0
Trump Hotel D.C	3750.0
Trump Hotel D.C	3750.0
Trump Payroll Corp	3706.98
Trump Payroll Corp	3706.98
Trump Payroll Corp	3706.98
Trump Payroll Corp	3706.98
Trump Payroll Corp	3706.98
Trump Golf Club L.A.	3670.8
Trump Restaurants LLC	3647.35
Trump Golf Club Miami	3596.01
Trump Golf Club Palm Beach	3591.51
Trump Golf Club	3577.03
Trump Golf Club Miami	3549.71
Trump Tower Commercial LLC	3548.49
Trump Golf Club Palm Beach	3506.92
Trump Tower Commercial LLC	3499.34
BLT Prime D.C	3422.94
Trump Payroll Corp	3360.15
Trump Payroll Corp	3347.59
Trump Hotel D.C	3322.37
Trump Hotel D.C	3314.85
BLT Prime D.C	3286.43
Trump Soho NY	3240.96
Mar-a-Lago Club LLC	3193.23
Trump Hotel D.C	3144.28
Trump Hotel Las Vegas	3127.32
Trump Hotel D.C	3112.2
Trump Golf Club	3096.0
Trump Payroll Corp	3063.2
Trump Restaurants LLC	3000.0
Trump Restaurants LLC	3000.0
Trump Restaurants LLC	3000.0
Trump Golf Club Miami	3000.0
Trump Tower Commercial LLC	2991.27
Trump Golf Club Palm Beach	2938.0
BLT Prime D.C	2934.54
Trump Golf Club Miami	2883.17
Trump Hotel NY	2815.81
Trump Restaurants LLC	2806.32
BLT Prime D.C	2700.0
Trump Tower Commercial LLC	2693.63
Trump Tower Commercial LLC	2693.63
Trump Tower Commercial LLC	2692.72
Trump Tower Commercial LLC	2679.33
Eric Trump Wine Manufacturing, LLC	2650.66
Trump Payroll Corp	2620.86
Trump Golf Club Palm Beach	2600.0
Trump Tower Commercial LLC	2587.24
Trump Tower Commercial LLC	2587.24
Trump Tower Commercial LLC	2587.23
Trump Tower Commercial LLC	2587.23
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Payroll Corp	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.43
Trump Tower Commercial LLC	2574.42
Trump Tower Commercial LLC	2573.43
Trump Hotel D.C	2558.77
Trump Payroll Corp	2544.01
Trump Payroll Corp	2544.01
Trump Payroll Corp	2544.01
Trump Payroll Corp	2544.01
Trump Tower Commercial LLC	2536.34
Trump Tower Commercial LLC	2536.34
Trump Tower Commercial LLC	2536.33
Trump Tower Commercial LLC	2536.33
Trump Tower Commercial LLC	2536.33
Trump Tower Commercial LLC	2531.19
Trump Payroll Corp	2529.11
Trump Golf Club Palm Beach	2520.0
Trump Payroll Corp	2460.94
Trump Payroll Corp	2460.94
Trump Payroll Corp	2460.94
Trump Payroll Corp	2460.94
Trump Restaurants LLC	2459.52
Trump Hotel Chicago	2452.45
Trump Tower Commercial LLC	2426.63
Trump Tower Commercial LLC	2426.63
Trump Hotel NY	2419.08
Trump Hotel NY	2419.08
Trump Golf Club Palm Beach	2408.54
Trump Payroll Corp	2371.78
Other	2287.5
Trump Hotel D.C	2267.67
Trump Hotel D.C.	2250.0
Trump Restaurants LLC	2229.76
Trump Golf Club Palm Beach	2203.5
Trump Golf Club Palm Beach	2189.88
Trump Hotel NY	2172.45
BLT Prime D.C	2153.64
BLT Prime D.C	2082.04
Trump Golf Club Palm Beach	2080.0
Trump Hotel Chicago	2079.06
Mar-a-Lago Club LLC	2073.33
Trump Restaurants LLC	2066.44
Trump Restaurants LLC	2000.0
Trump Restaurants LLC	2000.0
