property_scrubbed	Total Spending (in USD)	Average Transaction Expense (in USD)
Tag Air, Inc.	9252770.4	486987.915789
Trump Tower Commercial LLC	2700562.98	25966.9517308
Mar-a-Lago Club LLC	295125.02	42160.7171429
Trump Hotel Las Vegas	535420.07	3367.4218239
Trump Restaurants LLC	262097.32	5460.36083333
Trump Hotel D.C	848886.34	4309.06771574
Trump Golf Club Miami	444418.73	8546.51403846
The Trump Corporation	250621.34	22783.7581818
Trump Hotel D.C.	141462.99	2020.89985714
Trump Golf Club Westchester	48239.77	48239.77
Trump Golf Club Jupiter	61041.8	15260.45
Trump Golf Club Bedminster	77066.94	12844.49
Trump Golf Club Palm Beach	163055.66	4076.3915
Other	58464.34	5846.434
Trump Payroll Corp	218546.71	5603.76179487
Trump Hotel Chicago	55664.17	2530.18954545
Trump Golf Club Bedminster  	15221.1	15221.1
Trump Hotel Vancouver	38618.97	7723.794
Eric Trump Wine Manufacturing, LLC	38552.1	4819.0125
Trump Golf Club D.C	42219.28	3015.66285714
Trump Golf Club Doonberg	27724.32	6931.08
Trump Hotel NY	79663.26	1048.20078947
Trump Golf Club Charlotte	18279.67	9139.835
Trump Plaza LLC	181250	8238.63636364
Trump Soho NY	23000.34	920.0136
Trump Golf Resort Scotland	13307.85	6653.925
BLT Prime D.C	61463.83	787.997820513
Trump CPS LLC	72000	6000
Trump Golf Club	16625.8	2770.96666667
Trump Golf Club L.A.	8045.58	1005.6975
Trump Hotel Panama	20778.67	296.838142857
Trump Virginia Acquisitions, LLC	3669.68	1223.22666667
Trump Cafe NY	2946.73	196.448666667
Trump Ice LLC	5165.41	573.934444444
Trump Hotel Honolulu	1597.13	177.458888889
Benjamin Bar & Lounge D.C	1001.4	166.9
Trump Grill NY	1121.56	40.0557142857
Trump Golf Club D.C.	214.42	214.42
