type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
FEC	Donald J. Trump for President, Inc.	Apr 30, 2015	1380.54	Lodging	Trump Hotel NY	TTW - TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL AND TOWER	New York	NY
FEC	Donald J. Trump for President, Inc.	May 5, 2015	9583.33	Rent	Trump Tower Commercial LLC	TTW - RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	37993.04	Event	The Trump Corporation	TTW  - ONE-TIME REIMBURSEMENT FOR FACILITY, RESOURCES & DOMAIN NAMES	THE TRUMP CORPORATION	New York	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	3240.96	Lodging	Trump Soho NY	TTW - TRAVEL: LODGING	TRUMP SOHO	New York	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	9583.33	Rent	Trump Tower Commercial LLC	TTW - RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	506486.0	Travel	Tag Air, Inc.	TTW - TRAVEL: AIRFARE - FMV	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Jun 17, 2015	814.24	Lodging	Trump Soho NY	TRAVEL: LODGING	TRUMP SOHO	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 2, 2015	514.88	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jul 3, 2015	516.39	Lodging	Trump Hotel NY	TRAVEL: LODGING [MCMULLEN: SB23.7057]	TRUMP INTERNATIONAL HOTEL	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 6, 2015	9583.33	Rent	The Trump Corporation	RENT	THE TRUMP CORPORATION	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 9, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
